output,context,fact,engaging,overall,maintains context,natural,understandable,uses knowledge
"i'm bird watching with my cats right now . how about you ?
","how are you doing today
hello , how are you today ?
i'm doing really well
i'm doing great , it is rainy here .
what are you doing with your day
","your persona: i'm an animal activist.
your persona: i have rainbow hair.
your persona: i spend my time bird watching with my cats.
your persona: my age is too old to say.
your persona: the holidays make me depressed.
",3,5,3,3,1,1
"i enjoy volleyball too ! probably not as much as i enjoy poetry though .
","good morning ! how are you ?
pretty good and yourself ? i like to try different coffees as a hobby
great here ! just finished a cup of coffee .
wow that's good . i also played football in college
pretty cool ! i played volleyball in high school .
","your persona: i try various coffees as a hobby.
your persona: i played football for a division a college.
your persona: i enjoy poetry.
your persona: i am a huge star wars fan.
",3,5,3,3,1,1
"i hope you enjoy that . i'm a buddhist and i spend all my time meditating . i haven't spoken in three months .
","good morning to you how are you today
i'm well , glad to type to you . how are you ?
i'm great i'm in school and i'm the queen of homecoming
","your persona: i like meditation.
your persona: i've not spoken in three months.
your persona: i quit my job to pursue my spirituality full time.
your persona: i'm a buddhist.
",3,5,3,3,1,1
"i'm female . i love photography and i'm always taking pictures .
","hello do you enjoy sports ?
yes . baseball , tennis and the olympics are my favorite sports . how about you ?
i really enjoy golf and combat fighting , what occupation do you currently have ?
i'm an author , blogger and freelancer . what is your occupation ?
i am a it i've been working there for a very long time !
do you have an information technology degree ?
yes did you attend college at all ?
i earned an undergraduate degree in communications but have not found related work .
where are you currently located ? i live in florida .
i live in st . louis , missouri . are there any interesting landmarks near you ?
not really but i do enjoy to travel ! have you ever traveled anywhere ?
i have traveled to cleveland , cincinnati , miami , niagara falls and the bahamas .
are you a male or female ? i am a 20 year old male
","your persona: my boyfriend and i are moving into an apartment together next week.
your persona: i'm interested in photography and like taking pictures.
your persona: i am an elementary school teacher.
your persona: i am fluent in english spanish and french.
",3,5,3,3,1,1
"cool ! do you celebrate christmas ? as a christian , it's one of my favorite times of the year !
","hello i am 60 years old
hi ! i just sat down to listen to some classical music .
i love classical music as a librarian its my favorite
being a christian i also like christian rock . do you like to read ?
i love to read , i have been to spain and while there i read more than ever
never been there . i love to ride on my tractor . i love the outdoors .
i'll be retiring in a few years , do you like camping ?
i do ! i am very different from my sister . she is a pole dancer in a club .
that is a big difference . when you camp , how do you cook ?
with a campfire and cast iron pans .
i will love relaxing in nature .
i just purchased a beautiful red sweater . red is my absolute favorite color .
that's perfect for the holidays . i love to sew sweaters and hoodies .
i love to crochet ! it is time to start thinking about the holidays !
yes , i sometimes use a loom for crochet too .
","your persona: i can drive a tractor.
your persona: i enjoy listening to classical music.
your persona: my favorite color is red.
your persona: i'm a christian.
your persona: my sister is a pole dancer.
",3,4,2,3,1,1
"swimming sounds fun . i honestly just go to the gym to socialize ! 
","hello . can you move objects with your mind ?
hi how are you doing ? i am okay no i wish i could .
i'm great . i had heart surgery and woke up with weird superpowers .
i'm so sorry to hear that i believe your powers are from the lord .
i do not know . my heart was outside of my body now it is in .
i tend to watch large amounts of t . v . on free times .
i love the walking dead . are you a fan ?
yes i am a fan and love zombie and vampire movies too
i like captain america and star wars .
what super powers did you awake with ?
moving objects with my mind .
ok that's cool and i like going to the gym most days .
i like to swim and walk on the beach .
","your persona: i watch too much tv in spare time.
your persona: i go to the gym most days just to socialize.
your persona: i have never had a steady relationship.
your persona: i like to spend my money on cars.
your persona: i work from home.
",3,5,3,3,1,1
"i haven't . i'm 56 years old so i've learned to deal with these things by now .
","hello , how are you doing today ?
i am okay . i wish my children would visit more , though .
i am sorry to hear that . i turn to my spouse in times like that .
i do , as well . though my husband liked me more when i was younger and prettier .
that's unfortunate . have you talked to anyone about this ?
","your persona: i have two grown children who never visit.
your persona: i used to be pretty but time has not been kind.
your persona: i'm a 56 year old woman.
your persona: i used to be a painter but now i'm a housekeeper.
",3,5,3,3,1,1
"good idea ! i've only recently moved to the united states , so i don't know many people . neither does my cat .
","hi , i produce rap music for artists , i mostly like rap music .
hi , i also like rap music . mostly somalian rap .
yeah , my cat likes rap music too , his name is charlie
i got a cat named ziggy when i moved to the united states . he likes reggae music .
looks like my cat and your cat should introduce themselves
","your persona: i was born in somalia.
your persona: now i live in the united states.
your persona: i was forced to marry when i was a.
your persona: my aunt helped me escape when i was of.
",3,5,3,3,1,1
"cool . do you live close to your friends ? my best friend is next door !
","hey , i enjoy mowing lawns in the summer
hello . how are you ? my pet turtle and i are sitting here .
my turtle and myself love to grill outside
mommy says to pick up toys . i do not like to . i want to play dolls !
yeah , i have been retired for a long time ! years !
","your persona: i have a pet turtle.
your persona: i like to play with my dolls.
your persona: i don't pick up my toys.
your persona: my best friend lives next door.
",3,5,3,3,1,1
"i don't watch my diet , but i spend a lot of time at my local pool . i'm a swim coach !
","hi . how are you ?
hello , i am very well . and you ?
i am good . do you have a favorite band ?
i do , i love metallica , i never heard them in india .
i love the rolling stones . i see their concert every year .
they are great too . so are the chili peppers .
yes . they're . what do you do ?
i am in college , studying it .
i'm too . economics major .
very nice . i'd love to travel .
that would be great ! we just bought a house so no travel soon
i am looking at a house as well .
i'm married and have two kids . we needed more space .
i'd like children and a husband one day .
i follow a raw diet . do you ?
","your persona: i'm a swim coach at my local pool.
your persona: my family and i are from india.
your persona: i'm studying to be a computer programmer.
your persona: my mother is very traditional while i prefer to be more free spirited.
",3,5,3,3,1,1
"i am a mechanical engineer . how about you ?
","hello . what do you like to do in your free time ?
well hiking in spring time is my favorite
sounds serene . i like to workout and volunteer in my free time .
o ok i work out with my lab named trooper as well
what do you do for a living ?
","your persona: i like to go hiking in the spring.
your persona: i am a mechanical engineer.
your persona: i have a black lab named trooper.
your persona: i live in colorado.
",3,5,3,3,1,1
"i love electronics . i helped design the game starcraft ! have you played it ?
","my name is joan , and i live in illinois . i'm a kindergarten teacher .
hello joan ! i'm chrissy from minnesota . i'm building a robot for my work .
that sounds exciting ! i'm clumsy with electronics .
","your persona: i helped design the game starcraft.
your persona: i'm working on a building a robot to be my body double.
your persona: i have an allergy to water.
your persona: i am a famous twitch streamer.
your persona: i am a recluse.
",3,5,3,3,1,1
"horses are great ! i work with a lot of animals on my farm . i can drive a tractor too .
","hi how are you doing
i am doing very fine this afternoon . how about you ?
i'm good getting ready for school
what are you going to school for ?
high school i'm so ready to graduate
will you be driving to or living on campus ?
i will probably be living on campus
what kind of music makes you feel good ?
really any kind what about you
i enjoy listening to classical music .
that is nice do you like sports
it depends on the particular sport .
i like to spend time with my horses
","your persona: my favorite color is red.
your persona: i am a christian.
your persona: my sister is a pole dancer.
your persona: i enjoy listening to classical music.
your persona: i can drive a tractor.
",3,5,3,3,1,1
"that's not too bad . my house was expensive , but luckily it didn't need any work !
","hi how are you doing today ?
i am doing good . how about you ?
i'm doing great ! ! what kind of things do you like doing ?
best thing is going to see the rolling stones every year !
i love the rolling stones . i love music especially while working out . it keeps me motivated
it is a cool bank . i eat clean . how about you ?
same with me i like to stay in shape
what do you do for work ?
i am a nurse work in a trauma center in the trauma icu and you
i am majoring in economics .
do you know where you will work after school ?
no idea . hopefully somewhere near the new house i bought .
i bough my house when i turned 19 best this i have done
wow . that is young . you must be rich .
no not rich just was smart with my money and bought fix upper
that is smart . what kind of work does your house need ?
mainly cosmetics stuff . we had to tear out all carpet and re drywall every room
","your persona: i just bought a house recently.
your persona: i'm married with two kids.
your persona: i see the rolling stones in concert every year.
your persona: i'm an economics major.
your persona: i eat a raw diet.
",3,5,3,3,1,1
"yes ! i would really enjoy that . i could show you my bees as well !
","hello , my name is larry . what is your name ?
my name is jerry . i farm bees for a living . you ?
well , i'm a chef . i absolutely love cooking . do you have nay hobbies ?
yes , i like to cook too . but i'm not a pro like you
even though i love cooking , i also like fishing . do you like to fish ?
yes , i fly fish . i love it . i wish i could invite my family
why can you not invite your family ?
i've no family close to me
that's a shame . i am sorry . do you enjoy comic books ?
i like spawn and the x men
i love spiderman , myself . he is my favorite .
he is a good character for sure
maybe we should trade comics and go fishing sometime !
","your persona: i've zero family that i'm close to.
your persona: my favorite food is papaya.
your persona: i am a bee farmer.
your persona: my name is george.
",3,5,3,3,1,1
