output,grammaticality
"No writer, nor any playwright, meets in Vienna.",No
That you will marry any student is not certain.,Yes
Felicia kicked the ball off the bench.,Yes
I sent the package halfway around the world.,Yes
Sam gave the ball out of the basket.,No
Sam offered the ball out of the basket.,No
Park Square has a festive air.,Yes
The worker will have a job.,Yes
No one can forgive that comment to you.,No
"We launched the rocket to the moon, but it blew up before it got there.",Yes
"Sarah promised Catherine her old car, but then gave it to her son instead.",Yes
I lent the book partway to Tony.,No
The farmer loaded the cart with apples.,Yes
The farmer dumped the cart with apples.,No
Martha carved the baby a toy out of wood.,Yes
The bread cuts easily.,Yes
Janet broke Bill on the finger.,No
Janet broke the cup.,Yes
The visitor rang the bell.,Yes
We pulled free.,Yes
That movie always shocks people.,Yes
That movie always shocks.,Yes
Sharon came the room.,No
Bill sent a package to Tom.,Yes
That acorn will grow into an oak tree.,Yes
He turned into a frog.,Yes
I mixed the sugar into the butter.,Yes
Brian threw the fence with the stick.,No
Mira condemned Terry for the accident.,Yes
We investigated the area for bombs.,Yes
I sensed his eagerness.,Yes
They praised the dedication in the volunteers.,No
The earth was believed to be round.,Yes
Sarah smiled a charming smile.,Yes
Sandra beamed a cheerful welcome.,Yes
You've really lived it up.,Yes
Paperback books lift onto the table easily.,No
The books lifted onto the table.,No
Jessica loaded boxes under the wagon.,Yes
Jessica loaded boxes on the wagon.,Yes
Jessica crammed boxes at the truck.,No
Lora buttered at the toast.,No
Carla shoveled the walk.,Yes
Nora sent the book.,Yes
Nora sent Peter the book.,Yes
Carla slid the book.,Yes
Carla slid at the book.,No
Amanda carried the package to Pamela.,Yes
Packages drive easily to New York.,No
The chair pushed.,No
We offered a job to her.,Yes
A job offered.,No
Brown presented a plaque to Jones.,Yes
Carmen bought Mary a dress.,Yes
Carmen obtained the spare part at the hardware store.,Yes
Michelle kept the desk with the papers.,No
Frances hid the presents in the drawer.,Yes
The needle poked the cloth.,Yes
Carrie touched that cat.,Yes
Herman whipped the sugar and the cream.,No
Linda taped the picture to the wall.,Yes
Linda taped the picture onto the wall.,Yes
The child and her mother clung together.,Yes
This flyer and that flyer differ.,Yes
This flyer and that flyer differ apart.,No
The jeweller scribbled the contract with his name.,No
The gardener grew that acorn into an oak tree.,Yes
I shaped a loaf.,No
The children amused.,No
Susan whispered the news.,Yes
Susan whispered at Rachel.,Yes
Ellen said that melons were selling well.,Yes
Ellen said about the present conditions.,No
Ellen warned Helen against skating on thin ice.,Yes
Cynthia nibbled on the carrot .,Yes
Cynthia chewed.,No
Paul laughed at Mary.,Yes
Linda winked her lip.,No
My heart is pounding me.,No
Sharon fainted from hunger.,Yes
The witch poisoned the children.,Yes
A grandfather clock ticked in the hallway.,Yes
I squeaked the door.,No
Over the fire there bubbled a fragrant stew.,Yes
Soaring temperatures are predicted for this weekend.,Yes
The fort fluttered with many flags.,No
The voices echoed in the hall.,Yes
The stream twists through the valley.,Yes
There presented itself a wonderful opportunity yesterday.,No
A wonderful opportunity presented itself to him yesterday.,Yes
Out of the box jumped a little white rabbit.,Yes
Penny skated around the rink.,Yes
Jackie accompanied Rose.,Yes
many information was provided.,No
John offers many advice.,No
The cake that Jones got was more delicious than the one that Smith got.,Yes
We recommend to eat less cake and pastry.,Yes
I saw that gas can explode.,Yes
He washed her.,Yes
Wash you!,No
They have no in.,No
Some my jobs are in jeopardy.,No
It was the policeman met that several young students in the park last night.,No
did the policeman meet in the park?,Yes
John put old books in the box.,Yes
The monkeys proud of their leader.,No
John sounded very.,No
I don't know if I should agree.,Yes
John bought a book on the table.,Yes
John called the president a fool.,Yes
I forgot how good beer tastes.,Yes
This teacher is a genius.,Yes
A good friend is remained to me by him.,No
John ate his noodle quietly.,Yes
A smith hammered the metal.,Yes
Sandy removed her ballet shoes.,Yes
This week will be a difficult one for us.,Yes
Benny worked in a shoe factory when he was a student.,Yes
Everyone hoped that she would sing.,Yes
This proved a decisive factor.,Yes
The crocodile devoured the doughnut.,Yes
John is afraid of Bill.,Yes
John put under the bathtub.,No
John placed Kim behind the garage.,Yes
Kim depends for Sandy.,No
John put the book in the box.,Yes
John taught English Syntax to new students.,Yes
John regards Bill as a good friend.,Yes
Kim put in the box.,No
The chickens seem fond of the farmer.,Yes
The rules require that the executives be polite.,Yes
That Fred was unpopular nominated Bill.,No
They were taking a hard look at possible FTA.,Yes
John paid me against the book.,No
The committee will study the feasibility of setting up a national computer network.,Yes
We made them be rude.,Yes
"After reading the pamphlet, Judy threw it into the garbage can.",Yes
Students studying English reads Conrad's Heart of Darkness while at university.,No
I read some of the book.,Yes
Most of the fruit is rotten.,Yes
Neither of students failed.,No
I drank some of water.,No
It is a golden hair.,Yes
The boy in the doorway waved to his father.,Yes
"That dog is so ferocious, it even tried to bite itself.",Yes
He washed yourself.,No
John is easy to please Kim.,No
There seemed to be intelligent.,No
John tried to please Stephen.,Yes
We believed John to be a fountain in the park.,No
It tries to leave the country.,No
John tries to leave the country.,Yes
Under the bed seems to be a fun place to hide.,Yes
There is believed to be sheep in the park.,No
I hope to would study in France.,No
John can kick the ball.,Yes
John will rain tomorrow.,No
We expect there to will rain.,No
John was found in the office.,Yes
Did the child be in the school?,No
It did not rain.,Yes
John wants not to leave the town.,Yes
"Mary likes to tour art galleries, but Bill hates to.",Yes
They needn't take this exam.,Yes
Ann may spend her vacation in Italy.,Yes
"They love to play golf, but I do not.",Yes
"George has spent a lot of money, hasn't he?",Yes
"As a statesman, scarcely could he do anything worth mentioning.",Yes
We never found any of the unicorns.,Yes
One of Korea's most famous poets wrote these lines.,Yes
Somebody apparently struck the unidentified victim during the early morning hours.,Yes
The car was driven.,Yes
Ricky can be relied on.,Yes
The bed was slept in.,Yes
A pound was weighed by the book.,No
Who do you think Tom saw?,Yes
he had spent five thousand dollars.,Yes
Fed knows which politician her to vote for.,No
How did you guess that he fixed the computer?,Yes
The committee knows whose efforts to achieve peace the world should honor.,Yes
Which house does your friend live?,No
the baker from whom I bought these bagels left.,Yes
I found the place where we can relax.,Yes
Jack is the person with whom Jenny fell in love with.,No
There is a bench to sit on.,Yes
I met the man who grows peaches.,Yes
Which topic did you choose without getting his approval?,Yes
Which topic did you get bored because Mary talked about?,No
That is the reason why he resigned.,Yes
It bothers me that John coughs.,Yes
To please John is easy.,Yes
Kim is eager to please Tom.,Yes
That we invaded Iraq really bites.,Yes
It annoys me that Fido barks.,Yes
Who achieved the best result was Angela.,No
It was the peasant girl who got it.,Yes
That kind of person is hard to find anyone to look after.,Yes
A sick owl doesn't hunt mice.,Yes
Each candidate who has interest in semantics will be admitted to the department.,Yes
Each author whose contribution is written in any language other than English will provide a summary in English.,Yes
I'm sure we even got these tickets!,Yes
I'm even sure we got these tickets!,Yes
It's not because I have any sympathy for urban guerillas that I helped him.,Yes
It isn't because Sue said anything bad about me that I'm angry.,Yes
"That he was hungry, John whined.",No
I gave Mary after the party a book.,No
"Because she's so pleasant, as for Mary I really like her.",No
"Though he may hate those that criticize Carter, it doesn't matter.",Yes
With no job would John be happy.,Yes
I have much of the manuscript left to type.,Yes
He's a more reliable man.,Yes
Any trouble is what I don't want.,No
They may grow as high as bamboo.,Yes
Some of them made as many errors as 20.,Yes
Sally kissed himself.,No
Drew believes I think Rosie loves magazine ads.,Yes
"Dave, Dan, Erin, Jaime, and Alina left.",Yes
"Hopefully, we'll make it through the winter without snow.",Yes
Blue leather shows herself that Betsy is pretty.,No
Gwen hit the baseball.,Yes
I hit that you knew the answer.,No
I've lost my wallet or I've lost my mind.,Yes
It was a brand new car that he bought.,Yes
He likes cookies and he hates crumb cake.,Yes
They chased the man with the car.,Yes
I didn't have a red cent.,Yes
the book of poems and from Blackwell takes a very long time to read.,No
the one with a red cover takes a very long time to read.,Yes
John has a fear of dogs.,Yes
The building's the roof is leaking.,No
the panther's the coat is dark black.,No
Colin asked if they could get a mortgage.,Yes
The man I saw get into the cab robbed the bank.,Yes
I know you eat asparagus.,Yes
John's drum will always bother me.,Yes
An evil thought struck Dave.,Yes
In the classroom John put the book on the table.,Yes
Phillip gave the medal to the soldier.,Yes
Heidi thinks that Andy to eat salmon flavored candy bars.,No
Heidi thinks that Andy should eat salmon flavored candy bars.,Yes
He danced.,Yes
Did Calvin his homework?,No
Sylvia was slapping Jeff upside the head in martial arts class.,Yes
"If I am a rich man, I'd buy a diamond ring.",No
"If he were a rich man, he'd buy a diamond ring.",Yes
John is likely to leave.,Yes
The manager laughed.,Yes
Was sunk.,No
Who did you think kissed the gorilla?,Yes
Have you seen my model airplane collection?,Yes
It seems that Lucy was mugged.,Yes
I ate a salad that was filled with lima beans.,Yes
There were four men arriving at the station when I pulled up.,Yes
Jean is reluctant to dance.,Yes
I want her to dance.,Yes
Jean persuaded Robert.,Yes
Jean wants Bill to do the Macarena.,Yes
The children admire their mother.,Yes
Who has Peter talked with?,Yes
Heidi likes her violin.,Yes
John thinks that Mary loves himself.,No
Which pictures of himself does John like?,Yes
Any owl hunts mice.,Yes
Any man didn't eat dinner.,No
A pilot could be flying this plane.,Yes
"Everybody who attended last week's huge rally, whoever they were, signed the petition.",Yes
Anybody who attended last week's huge rally signed the petition.,Yes
"Any tiger has orange fur, marked with black stripes.",Yes
"Any albino tiger has orange fur, marked with black stripes.",Yes
You must pick any flower you see.,Yes
Any pilot on duty today could be flying this plane.,Yes
"You may pick every flower, but leave a few for Mary.",No
The Dodgers beat the Red Sox and were beaten by the Giants.,Yes
In which car was the man seen?,Yes
The man who Mary loves and Sally hates computed my tax.,Yes
The kennel which Mary made and Fido sleeps has been stolen.,No
Tom said he would and Bill actually did eat a raw eggplant.,Yes
The wealthy young man bought that piano for his secret fiancée.,Yes
The dog stole the turkey.,Yes
a tall building.,Yes
This building is tall.,Yes
I like the book which you gave me.,Yes
Captain Wentworth wrote a letter to Anne Elliott.,Yes
She asked was Alison coming to the party.,Yes
They realised that never had Sir Thomas been so offended.,Yes
Fanny regretted having to talk to Aunt Norris.,Yes
"Knowing the country well, he took a short cut.",Yes
He left the train with somebody else's wallet in his pocket.,Yes
Magnus went to Ireland.,Yes
Who did John send the book?,Yes
The idea dismayed the Prime Minister that the Dome was dull.,Yes
Came right in he did without so much as a knock.,Yes
Harriet admired Mr Knightley.,Yes
The book is boring.,Yes
Ethel wishes to ask you some awkward questions.,Yes
Emma made Harriet some food.,Yes
The window was broken with a hammer.,Yes
The fugitive lay motionless in order to avoid discovery.,Yes
The guard marched the prisoners round the yard.,Yes
Frank Churchill crossed the street.,Yes
Emma and Harriet were attacked yesterday.,Yes
Fiona might be here by 5 o'clock.,Yes
I am both expecting to get the job and of the opinion that it is a desirable one.,Yes
Pat was awarded the Golden Fleece Award and very upset about it.,Yes
Kim alienated cats and beating his dog.,No
They knew that pictures of each other would be on sale.,Yes
Which article did Terry file papers without reading?,No
I want to try and buy some whiskey.,Yes
She goes and buying some whiskey.,No
Kim and Terry is happy.,No
Kim gave a dollar to Bobbie and a dime to Jean.,Yes
This girl in the red coat will put a picture of Bill in the mailbox and on your desk before tomorrow.,Yes
"Put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",No
"Picture of Bill, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",No
Ann bought a first edition of Richard III for $1000.,Yes
John became deadly afraid of flying.,Yes
What John promised is to be gentle.,Yes
Henri wants to buy which books about cooking?,Yes
I will fix the computer for Carol.,Yes
Smith loaned a valuable collection of manuscripts to the library.,Yes
The paper is cut by Mary.,Yes
It was from six to nine or it took place from six to nine.,Yes
"Suddenly, there arrived two inspectors from the INS.",Yes
"The soup cooks, thickens.",Yes
I gave money to the charity.,Yes
John asked.,Yes
I saw even the student.,Yes
John whispered Mary left.,No
Mary wonders that Bill will come.,No
Sophie will theater.,No
John finished the cake and drank the lemonade.,Yes
Herself likes Mary's mother.,No
Each of the boys fought with some of the other boys.,Yes
John's mother likes himself.,No
Mary revealed himself to John.,No
Mary believes that Bill saw himself.,Yes
John heard that they criticized themselves.,No
Mary thinks that she is smart.,Yes
Henry found that Bill is sad.,Yes
John considers himself proud of Mary.,Yes
You should sit before there.,No
There is a nurse available.,Yes
Everyone hopes everyone to sleep.,No
Everyone hopes that he will sleep.,Yes
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",No
John promise Mary to shave himself.,Yes
John convinced Bill that Mary should sleep.,Yes
I saw Bill while you did so Mary.,No
What Mary did Bill was give a book.,No
The bears sniffed,Yes
to steal talismans from witches is dangerous,Yes
Anson demonized,No
You kicked yourselves,Yes
The book that I said that I'd never read.,Yes
Anson demonized up the Khyber,No
It is not true that I might be going to the party.,Yes
Kick you!,No
Jason persuaded the doctor to treat Medea,Yes
Who did you get an accurate description of?,Yes
The Peter we all like was at the party,Yes
The government's imposition of a fine.,Yes
Did Athena help us?,Yes
You wanted to meet the man I saw.,Yes
Anson demonized David every day,Yes
There is a programme about Euripides on a Radio 4 tonight?,Yes
Medea denied poisoning the phoenix.,Yes
The elixir was hidden in a hole in the ground,Yes
"Extremely frantically, Anson danced at Trade",Yes
What did you ask who Medea gave?,No
It's Anson that I like,Yes
Medea tried the nurse to poison her children.,No
I felt that I know you.,Yes
Will he can do it?,Yes
I ate that she was happy,No
Anson believed himself to be handsome.,Yes
We arrived about six o'clock,Yes
Gilgamesh is having fought the dragon.,No
Anson thought that himself was happy.,No
Fortunately Hermione passed biology,Yes
I might be not going to the party but washing my hair,Yes
I thought he liked myself,No
The butler sent the poison to Dinah.,Yes
Jason happens to appear to seem to be sick.,Yes
What did you ask who saw?,No
We linguists love to argue,Yes
He can will go,No
How fierce the battle?,No
Which king did you ask which city invaded?,No
It is some disgruntled old pigs in those ditches that humans love to eat.,Yes
That banana is eating the monkey.,Yes
Burn them!,Yes
It stinks that Aphrodite is omnipotent.,Yes
Agamemnon seems to be a maniac,Yes
Will Anson come to the party?,Yes
I wondered who Medea had poisoned.,Yes
I inquired when could we leave.,No
They kicked them,Yes
The monkey is ate the banana,No
I would like to could swim,No
I kicked myself,Yes
The bookcase ran,No
I shaved myself.,Yes
Anson became a muscle bound.,No
somebody just left - guess who .,Yes
"they claimed they had settled on something , but it was n't clear what they had settled on .",Yes
"if sam was going , sally would know where .",Yes
"they 're going to serve the guests something , but it 's unclear what .",Yes
she 's reading . i ca n't imagine what .,Yes
john said joan saw someone from her graduating class .,Yes
john ate dinner but i do n't know who .,No
"she mailed john a letter , but i do n't know to whom .",No
i served leek soup to my guests .,Yes
i served my guests .,Yes
"she was bathing , but i could n't make out who .",No
she knew french for tom .,No
john is tall on several occasions .,No
"the ship sank , but i do n't know with what .",No
"they noticed the painting , but i do n't know for how long .",No
"john was tall , but i do n't know on what occasions .",No
joan ate dinner with someone but i do n't know who .,Yes
joan ate dinner with someone but i do n't know who with .,Yes
"i know that meg 's attracted to harry , but they do n't know who .",No
"since jill said joe had invited sue , we did n't have to ask who .",No
"i know that meg 's attracted to harry , but they do n't know who .",Yes
"she said she had spoken to everybody , but he was n't sure who .",No
"each of the performers came in , but were sitting so far back that we could n't see who .",No
she did n't talk to one student .,Yes
"she does n't meet anyone for dinner , but they ca n't figure out who .",No
everyone relies on someone . it 's unclear who .,Yes
"each student wrote a paper on a mayan language , but i do n't remember which one .",Yes
"the newspaper has reported that they are about to appoint someone , but i ca n't remember who the newspaper has reported that they are about to appoint .",Yes
"the newspaper has reported that they are about to appoint someone , but i ca n't remember who they are about to appoint .",Yes
"most columnists claim that a senior white house official has been briefing them , and the newspaper today reveals which one .",Yes
"most columnists claim that a senior white house official has been briefing them , but none will reveal which one .",Yes
"bill wondered how many papers sandy had read , but he did n't care which ones .",Yes
"i never know which papers sandy has read , but i usually know how many .",Yes
sandy had read how many papers ? !,Yes
"everybody gets on well with a certain relative , but often only his therapist knows which one .",Yes
which book did each author recommend ?,Yes
his or her least known work .,Yes
"they were going to meet sometime on sunday , but the faculty did n't know when .",Yes
"john likes some students , but i do n't know who .",Yes
i do n't know who john likes .,Yes
"john likes some students , but i do n't know who john likes some students .",No
"joan said she talked to the students , but fred could n't figure out who .",No
"he announced he had eaten the asparagus , but we did n't know what .",No
"she was reading the books under the table , but fred did n't know what books .",Yes
"he announced he would marry the woman he loved most , but none of his relatives could figure out who .",Yes
she talked to john or mary but i do n't know which .,Yes
she talked to john or mary but i do n't know which one .,Yes
"she talked to harry , but i do n't know who else .",Yes
"i will see them , but i do n't know how many of them .",Yes
everyone who knows either susan or laura likes her .,Yes
she said she talked to three students but i do n't know how many .,No
she said she talked to those students but i do n't know how many .,No
"he shouted again , but i do n't know who to .",Yes
"she was dancing with somebody , but i do n't know who with .",Yes
"several firefighters were injured , but it 's not known .",Yes
"meg is attracted to harry , but they do n't know who she is attracted to .",Yes
"sandy was trying to work out which students would be able to solve a certain problem , but she would n't tell us which one .",Yes
"sandy was trying to work out which students would be able to solve a certain problem , but she would n't tell us which one .",No
"john and someone were dancing together , but i do n't know who .",No
"the ta 's have been arguing about whether some student or other should pass , but i ca n't now remember which one .",Yes
it has been determined that somebody will be appointed ; it 's just not clear yet who .,No
"sally asked if somebody was going to fail math class , but i ca n't remember who .",No
"the ta 's have been arguing about whether some student or other should pass , but i ca n't now remember which one .",No
"sandy is very anxious to see if the students will be able to solve the homework problem in a particular way , but she wo n't tell us which .",Yes
"sandy is very anxious to see if the students will be able to solve the homework problem in a particular way , but she wo n't tell us in which way .",Yes
"clinton is anxious to find out which budget dilemmas panetta would be willing to tackle in a certain way , but he wo n't say in which .",Yes
"sandy is wondering whether there will be students who have to drop the class for a certain reason , but she wo n't reveal what .",Yes
in which way is sandy very anxious to see if the students will be able to solve the homework problem ?,No
in which way is clinton anxious to find out which budget dilemmas panetta would be willing to solve ?,No
"i know how many assignments i 've graded , but i do n't know how many bill has .",Yes
what did you leave before they did ?,No
what did you leave before they started playing ?,No
sandy was trying to work out which students would be able to solve a certain problem .,Yes
the administration has issued a statement that it is willing to meet with one of the student groups .,Yes
sandy was trying to work out which students would be able to solve a problem .,Yes
the administration has issued a statement that it is willing to meet a student group .,Yes
"the administration has issued a statement that it is willing to meet a student group , but i 'm not sure which one .",Yes
"i think agnes said that bill would speak , but i do n't remember what about .",Yes
agnes wondered how john could eat but it 's not clear what .,No
"tony sent mo a picture that he painted , but it 's not clear with what .",No
she 's been dancing but we do n't know with whom .,Yes
who did they see someone ?,No
it was believed by everybody that mary was a thief .,Yes
that professor is feared by all students .,Yes
mary was respected by john .,Yes
ted was bitten by the spider .,Yes
the book was by john written .,No
the argument was summed by the coach up .,No
the paper was written up by john .,Yes
the paper was written by john up .,No
john was spoken to by mary .,Yes
john was spoken by mary to .,No
the book was seen by mary .,Yes
john was seen the book .,No
the book was written .,Yes
john was spoke by mary to .,No
the table was wiped clean by john .,Yes
the table was wiped by john clean .,No
mary was given by john the book .,No
john was believed to be telling the truth by mary .,Yes
john was believed by mary to be telling the truth .,Yes
the car was driven by john to maine .,Yes
it was believed by the students that they would have an exam .,Yes
the magazines were sent to herself by mary .,No
chocolate eggs were hidden from each other by the children .,No
the magazines were sent by mary to herself .,Yes
chocolate eggs were hidden from no child by any adult .,Yes
tabs were kept on each agent by the other .,Yes
chocolate eggs were hidden from every child by his mother .,Yes
books were taken from no student and given to mary .,Yes
books were taken from no student and given to mary by any professor .,No
books were taken from each student by the other .,Yes
books were taken from each student and given to mary .,Yes
books were taken from each student and given to mary by the other .,No
jack hates sue and is loved by mary .,Yes
vera sent a baby alligator to max and a leather dinosaur to phyllis .,Yes
either sam plays the bassoon or jekyll the oboe .,Yes
"sam does n't play bassoon , nor medusa oboe .",Yes
"bill ate the peaches , but harry the grapes .",No
i no more could have stolen that steak than jack the diamonds .,Yes
bill ate more peaches than harry did grapes .,Yes
bill ate the peaches and harry did the grapes .,No
"tom will smoke the grass , and reuben has the hash .",No
"if the ants were called elephants and elephants ants , i 'd be able to squash an elephant .",Yes
"simon quickly dropped the gold , and jack the diamonds .",Yes
"bob tried to wash himself , and mary to read the funnies .",Yes
"harry told sue that albania is a lovely place for a vacation , and tom told sally that albania is a lovely place for a vacation .",Yes
"harry told sue that albania is a lovely place for a vacation , and tom .",Yes
"max seemed to be trying to begin to love harriet , and fred to be trying to begin to love sue .",Yes
"max seemed to be trying to force ted to leave the room , and walt , ira .",Yes
"max seemed to be trying to force ted to leave the room , and walt to stay a little longer .",No
"arizona elected goldwater senator , and massachusetts , mccormack .",No
"millie will send the president an obscene telegram , and paul , the secretary a rude letter .",No
maytag will give a brand-new dryer to the winner of the mrs .,No
"bill did n't eat the peaches , nor harry .",No
"bill ate the peaches , and harry did , too .",Yes
"bill must quickly eat the peaches , and harry must slowly .",No
"whenever russia has made a major political blunder , the u.s. has too .",Yes
bill 's story about sue and max 's about kathy both amazed me .,Yes
i bought three quarts of wine and two of clorox .,Yes
"scientists at the south hanoi institute of technology have succeeded in raising one dog with five legs , another with a cow 's liver , and a third with no head .",Yes
"bill 's story about sue may be amazing , but max 's is virtually incredible .",Yes
"i like bill 's yellow shirt , but not max 's .",Yes
bill 's funny story about sue and max 's boring one about kathy both amazed me .,Yes
bill 's wine from france and ted 's from california can not be compared .,Yes
"as a teacher , you have to deal simultaneously with the administration 's pressure on you to succeed , and the children 's to be a nice guy .",No
neither von karajan 's recording of beethoven 's 6th on columbia nor klemperer 's on angel has the right tempo .,Yes
gould 's performance of bach on the piano does n't please me anywhere as much as ross 's on the harpsichord .,No
tom 's dog with one eye attacked frank 's with three legs .,No
"because steve 's of a spider 's eye had been stolen , i borrowed fred 's diagram of a snake 's fang .",No
neither von karajan 's recording of beethoven 's 6th on columbia nor klemperer 's has the right tempo .,Yes
tom 's dog with one eye attacked fred 's .,Yes
i borrowed fred 's diagram of a snake 's eye because steve 's had been stolen .,Yes
jerry attempted to blow up the pentagon .,Yes
so fast did he run that nobody could catch him .,Yes
"bill bought a red house , and max bought one too .",Yes
who always drinks milk ?,Yes
the book which inspired them was very long .,Yes
the book what inspired them was very long .,No
i know the person whose mother died .,Yes
the person whose mother 's dog we were all fond of .,Yes
i wonder whose mother died .,Yes
i wonder whose mother 's dog died .,Yes
i wonder to whom they dedicated the building .,Yes
give me the phone number of the person whose mother 's dog died .,Yes
this is the senator to whose mother 's friend 's sister 's i sent the letter .,Yes
i want goes to the store .,No
i wonder what to be a clown on the cover of .,No
bother you that kim left !,No
a student who to talk to us just walked in .,No
whose bagels do you like ?,Yes
i wonder in whom to place my trust .,Yes
there were several old rocks songs that she and i were the only two who knew .,Yes
it was to to amuse us that kim was singing that they wanted .,No
what they feared most was to be no one available to help them .,No
